rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
1,Zack Wheeler,2 Tms,1443.0,96.04422211687928,,90.81245911491173,87.77197045339665,,95.74155335695583,84.79700529634853,80.78509660652483,,57.599998474121094,89.0522882199755,,
2,Jacob deGrom,2 Tms,1076.0,97.07283417345468,,,,,95.0587739944458,91.25718202372894,82.25977718777126,,,89.65936616352501,,
3,Max Scherzer,5 Tms,1277.0,94.15673536720631,,89.05075577137082,,,93.4516875877809,85.32198970095031,76.81548287348492,,,84.32896954849129,,
4,Aaron Nola,PHI,1549.1,92.66789934404665,,86.80251694560312,,,91.68760159816495,,,78.5935187466591,,85.22380114746093,,
5,Gerrit Cole,3 Tms,1374.2,96.86018280109077,,92.0114641895488,,,96.0138577585635,88.71188239594669,,82.53638138658049,,89.03210524192141,,
6,Kevin Gausman,5 Tms,1455.0,94.43222421651717,,,84.77030520713465,,93.29937355473356,82.85600047317976,,,,83.68884715781546,,
7,Chris Sale,2 Tms,990.1,94.51268457203098,,,,,93.34673307566895,79.0098632488706,,,,86.5510930398093,,
8,Justin Verlander,4 Tms,1232.1,94.66238260852073,,91.76470588235294,,,94.7050048828125,86.99123740353302,79.08023641236436,,,85.6873762212391,,
9,Sonny Gray,6 Tms,1313.0,92.74689584334386,,87.76567027293503,,,92.49429549702838,84.21351183129968,80.47341971831523,75.4163636641069,,88.01690851773186,,
10,Luis Castillo,2 Tms,1423.2,96.20206099891598,,92.30000305175781,,,96.23772650377754,85.50872178771527,,,,87.64585423015544,,
11,Clayton Kershaw,LAD,1093.1,90.87677869062932,,,83.1619478748963,,92.23275967301994,87.11924992966992,73.27903420343588,58.599998474121094,46.29999923706055,85.11803211149622,,
12,Logan Webb,SFG,1079.2,92.91336036687329,,90.98884037562779,,,92.3738676067445,83.38986859950951,,,,86.70466726474788,,
13,Max Fried,2 Tms,1082.2,93.88688016528926,,92.56597949422724,,,93.58960104929925,84.22223793644918,74.51344735456988,,,85.65802754959702,,
14,Blake Snell,4 Tms,1069.0,95.37413171484872,,,,,,87.68656679979011,80.77063117989965,,,86.72076522955872,,
15,Charlie Morton,5 Tms,1358.1,94.94142778424765,,87.68279113616407,86.41759264910662,,94.4741158402257,,80.72719881586376,,,86.31346309813463,,
16,Shane Bieber,2 Tms,876.2,92.52839241132921,,87.16601470510315,,,93.69999694824219,84.87903323359497,,82.46446875439233,,87.80488175694082,,
17,Dylan Cease,3 Tms,1036.0,96.65091511147294,,91.81052760074013,,,96.24185203269676,87.0114578939969,,80.69652115742015,,79.28753416659686,,
18,Corbin Burnes,3 Tms,886.0,94.9481094822739,,94.8219033323262,,,96.18841277459175,87.35151213196042,80.69252665177689,,,89.69158447608038,,
19,José Berríos,2 Tms,1510.0,93.72530936795604,,90.30237154150197,,,93.21336124380105,,82.36290048021789,,,84.23291697740832,,
20,Framber Valdez,2 Tms,1050.2,93.43733080431146,,89.145,,,93.89592630239324,84.04811483117787,79.41022995283019,,,89.41407638053072,,
21,Yu Darvish,4 Tms,1132.1,94.47549754175647,,90.11300737194549,88.9111308654509,,93.9388357771065,84.40195261123321,72.82555280412946,79.37883693220542,,88.28308890847599,,
22,Tarik Skubal,DET,780.1,95.76083310081846,,94.85714285714286,85.49749984741212,,96.11705390731875,88.35879215798687,81.09333157009549,76.24208657035615,,85.84211826850193,,
23,Lance Lynn,6 Tms,1207.2,93.35812808255174,,88.492423828125,,,91.89560132216747,83.48865265541889,80.98849630647975,78.9888916015625,,85.7022785716828,,
24,Patrick Corbin,4 Tms,1492.0,91.75994419613448,,86.64714060266033,,,91.86000957879806,80.89041671995794,70.42327097379244,63.150001525878906,,81.8067317069162,,
25,Zack Greinke,3 Tms,1122.1,89.4865956606408,,85.49285659510574,80.0857173374721,,90.08316049262855,82.96583405722203,71.82757037096297,62.64166831970215,65.58257657831365,86.72197791916167,,
26,Sandy Alcantara,MIA,1097.1,97.20153503342412,,89.88386781754032,,,96.9859145818025,88.86252763536241,84.1234903893329,,,91.0109794254392,,
27,Pablo López,2 Tms,965.0,94.18697410721927,,90.02084077210924,,,93.55642462855074,84.50662149857898,80.9976018936489,,,87.56038755815065,,
28,Carlos Rodón,3 Tms,975.2,94.63426074640813,,91.86052797551741,,,92.736789265444,85.65967871511084,80.18820139644005,,,84.97826500042345,,
29,Kyle Hendricks,2 Tms,1280.1,87.04907510747354,,85.88076547475961,,,86.77687550241157,,72.57056710933364,,,79.61939785404401,,
30,Nathan Eovaldi,3 Tms,968.0,96.07563197469652,,91.60391323045752,87.99589701461679,,93.42460704985119,85.92537815409496,77.60790514823718,,,,,
