rank,Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+
1,Zack Wheeler,2 Tms,1443.0,111.43720245421478,69.25510539454346,160.60209145922067,74.05990359886357,116.99681367896015,72.72972499286836,91.7349363947207,83.89165840813742,98.03396474069575,104.06946745450176,77.87774636607023,75.4024845548605,81.37257766977154,102.1805911153522,103.40363843371428,94.49009927343091
2,Jacob deGrom,2 Tms,1080.0,132.49725020860842,58.31634553330923,226.75872449041688,75.84612899777838,145.29224904711984,63.986357780244695,80.75838832094874,71.5079962623423,93.014637763571,110.8295031916819,61.810911491183234,62.795767461337654,65.49217773082842,97.83273000646395,98.56782649632761,102.44584642770718
3,Max Scherzer,5 Tms,1283.0,130.4630557753615,64.13216466198604,202.98959106281652,97.18453688102512,139.6446050507226,68.65350989788584,85.18357029794986,76.89511552037412,94.4267930214554,110.53286066206178,72.14504494047786,74.69583834778258,80.6365371371073,93.10970052095658,78.15587029707018,130.28608709340415
4,Aaron Nola,PHI,1553.2,114.60054733531142,72.05091482789473,158.93269101199868,96.97154505998634,119.5768380928236,75.21236989716922,94.4890172370314,87.17650274586481,99.50532570517466,101.88837882130474,89.00077421560064,81.70457637131197,79.91533703688316,97.8681250198468,105.08950098843113,95.00101095602506
5,Gerrit Cole,3 Tms,1374.2,129.46141560555878,71.25966470222743,181.9299588458763,95.88755415808208,138.49650581499245,76.18509521355134,86.11562157480255,79.54018675154437,95.40598147368898,108.84827252907169,75.48223302128,75.66097529930228,74.69052131670922,94.8734125287266,95.93373403064541,107.36994942417226
6,Kevin Gausman,5 Tms,1461.0,109.65817229517533,77.35598561308485,141.97664350803876,86.95251332222746,111.86797369502197,78.93617968944068,100.4142414266155,94.48200916098659,105.47863445467229,101.73978502329068,89.77566651603632,81.51845527361331,87.07453174783603,106.20356609654213,96.28950809818235,100.82243943892033
7,Chris Sale,2 Tms,997.1,143.09748951611158,65.01857634550127,219.7904367683454,75.18006321333294,151.6345407840348,68.88219709874166,85.86678109852538,77.93403689037068,102.92320819493807,107.39204862281528,67.56043882884806,64.77639711503853,67.06274102777827,101.09245831725502,98.05309395755053,101.64955342409938
8,Justin Verlander,4 Tms,1232.1,116.01533372339921,69.88214721925104,165.73695791114685,90.26759160836451,122.93210395974268,74.00549106790422,86.38452312589315,79.97209799532085,90.9058647811042,108.88087753888914,73.04735842139273,81.66975416219817,90.01843008651387,99.82454244529296,79.6336678532258,123.35612535385879
9,Sonny Gray,6 Tms,1315.2,111.39744449120418,89.124464194849,124.60393839830675,79.38657595784781,114.25413619549944,91.45641418984835,93.73053271133348,91.48406666945567,99.63030992520325,100.37273232527322,86.47407173490537,81.66556585648456,83.02725365080032,103.32795391328249,111.22357892538987,85.24690424312722
10,Luis Castillo,2 Tms,1434.0,108.80211561755631,87.89513630302316,123.50110614935745,92.48084629086377,111.96356382912332,90.4855926399114,94.65566126347042,91.61624036650336,98.25251778655094,103.21156347040072,86.46857501128743,88.39304744799153,86.28877664297197,91.47540219019125,110.46634989689765,91.67503788480042
11,Clayton Kershaw,LAD,1093.1,107.57959044530546,58.927515483690144,183.79653623970563,87.44970635403833,115.49434318426317,63.23490293361211,89.54479252405237,79.10326682943438,92.3663009423029,110.54033871545512,68.05528939033915,78.12399696069095,77.31188048622222,94.88011904245708,109.63585464580048,91.33411795027328
12,Max Fried,2 Tms,1096.0,99.38428202078718,72.85923475712548,136.38595802405476,58.698846348808054,103.96037417610147,76.21517461161748,94.78169638869316,87.16283125085063,99.16991236033475,104.4354049765227,70.95382962865078,76.61045100946582,80.14535727215186,96.6488632611034,124.74423333029054,72.60869386944438
13,Logan Webb,SFG,1085.2,97.83161498389144,65.4427098070945,149.37507112637815,53.16526537761573,101.68133880292642,68.00054094214606,102.97453233817548,92.14514693457114,107.9594832524815,99.41020286593242,83.86554394291679,75.2480239507502,75.32306160332226,100.71769139270894,132.498611354071,61.40288084147086
14,Blake Snell,4 Tms,1069.0,131.0046481342319,121.2917672471517,107.82291003780699,71.46362478810376,136.2257496713777,126.13172891246893,82.96644074888219,90.37820595212858,95.71655513664564,108.2971492936713,75.6781912332697,79.16409828068824,81.40777940630437,101.35710526351343,99.30675922904845,100.16969988569974
15,Charlie Morton,5 Tms,1358.1,118.79065207558457,104.86280896970102,113.51547217146731,83.29213309105523,119.64281527949545,105.54232371448403,93.94406775436698,95.33417458557373,102.57363656645934,103.09182586470264,92.12386105582814,90.46948410512445,87.19098221512901,106.25814363888625,107.2803359532876,88.0287267738408
16,Dylan Cease,3 Tms,1041.0,127.43138349734744,119.02012586021198,106.81468218645338,85.99161933401113,127.82855217311693,119.4440414445214,91.10811238502384,97.60527497690977,101.45830237826723,101.2233937921915,91.49795549197017,84.34743344279367,90.4296897225908,104.34264442225216,90.24436673036371,108.72765559369691
17,Shane Bieber,2 Tms,876.2,116.85779208333076,61.174837156671835,191.02912269376495,81.12314968498059,123.32864015035005,64.53283970527558,95.15563333739313,84.89894905665182,103.2107960504272,107.0409727447454,74.90646289771236,73.61801690250492,72.77373946340676,105.47885254097015,109.70367282227573,86.24245317535052
18,Corbin Burnes,3 Tms,886.0,118.21654549214414,77.52166661245819,153.18584500429088,79.69898758917347,125.03411793475297,81.99194450406256,86.07189332018244,81.42347394703489,93.45053645378314,106.03999412107885,72.09006491289657,76.61755623998671,75.8933816007541,98.5731974607525,110.55803156076603,88.64244007626294
19,José Berríos,2 Tms,1510.0,98.35174340220152,80.7813542089739,121.85731687606527,100.15565436708617,100.2518001631564,82.29855542453618,99.02179332213198,93.5520589328961,98.54396195821784,102.95692319746612,93.10396308773652,96.56370364337612,97.39595522189823,102.5223877647496,98.57108273782956,100.37765705094519
20,Framber Valdez,2 Tms,1056.2,100.20074274295145,98.03567283002066,102.37077063223535,59.586047234529104,102.83658876668352,100.64515353741703,93.75890046034215,92.95036236449585,98.34078158743534,102.3643870424745,81.33746753307096,83.50470007863518,78.8918975299178,92.01806355852577,147.4470589431097,51.95611319630511
21,Tarik Skubal,DET,786.1,120.22462980602712,61.91154248806973,194.5534650260859,82.67803256446778,128.13288007009928,66.0020951344439,89.26408238411815,79.69889296558758,97.1864769716258,105.21160161350669,73.26506522353863,73.14809100097627,74.59719409761014,99.41623676710832,102.88587066138328,97.39448385222681
22,Yu Darvish,4 Tms,1132.1,115.47033585860757,75.96082924240257,152.49166130316078,107.75415164691165,120.6566477484448,79.35777644143408,90.73304995929843,84.86264317005194,94.05441918282723,104.06721785860765,92.22781956527504,90.59768645113,86.36237065673194,99.98403138374431,92.65526342385054,108.75867847343889
23,Patrick Corbin,4 Tms,1502.2,96.41711350732123,85.32395480232996,113.2353809834518,109.60361748633949,95.38416858170528,84.41036214822557,110.47238306316575,105.991528399762,108.96878456403323,98.60067293057637,109.43364260594323,99.23045573487288,92.99064587836621,105.45274942145848,106.3067060547748,89.12935144409771
24,Lance Lynn,6 Tms,1207.2,106.54281438484449,94.08951561743683,113.0020265922104,103.90677095605712,106.9893264771852,94.52317429618225,96.45259160811554,95.89411400087943,97.79760916781707,101.60092188047145,92.42037194478509,95.48699119170773,96.67367654188999,102.5586648579901,94.92728552859168,104.47641693676995
25,Zack Greinke,3 Tms,1122.1,87.48298685379893,51.5924977072365,170.8520368499104,96.17023101966868,92.36571840219578,54.39707474844408,100.52907521154202,86.60834364534342,96.91670178162069,102.84295843812048,83.61824443843312,90.33902420268524,90.89650379064378,105.15433890228888,102.71799178603638,93.92878944651784
26,Sandy Alcantara,MIA,1102.1,88.42237272781375,83.05724960039277,106.38619556781082,77.67570986372066,91.87057303906515,86.32864703029574,94.11599349315827,89.39769981674705,92.58689944375791,99.30906408911585,85.56345306660867,91.96079953953162,95.55633909563626,88.48483238456551,115.2804848867045,88.35532026511204
27,Pablo López,2 Tms,965.0,105.56820242419327,71.83035937081044,146.8593630112483,89.96752081635239,108.42794330581181,73.78626784793175,99.22328916085638,91.22731822606681,102.54460508100158,101.57551123108904,91.82974071547227,86.97881003995394,85.85163228925032,101.37723910858432,106.92456780317774,91.08935365668009
28,Carlos Rodón,3 Tms,975.2,117.46573193736447,101.29313694419073,115.8887934689812,95.38435763394017,120.33041002629513,103.81635251447344,87.83116186620774,89.67842171236353,92.79740522950067,103.32742384974239,88.92777489495583,89.46525361910899,94.35246015698004,90.64829395970102,89.87768550799169,116.35663736143572
29,Kyle Hendricks,2 Tms,1280.1,79.49048592208592,64.28212263748702,124.54442630733998,100.75289898904047,81.1296052124471,65.54400421296911,104.68536041859969,94.33441505104582,98.12297968543533,99.80593853677291,98.40155085104104,100.34448135825401,101.1800862451755,103.29807161908681,101.03672020085874,96.51169365234735
30,Nathan Eovaldi,3 Tms,973.0,101.55680548381704,65.4433556014597,155.15704828949296,96.40894221222155,105.17283135356965,67.83579127502026,98.84404738014182,89.20741453582805,99.78564403921487,103.35699481432002,85.27961659064532,87.96274182965834,85.05909487224412,95.136144931191,112.45083106785285,88.96351138262355
31,Zac Gallen,2 Tms,1033.0,107.8585616438563,88.11981330286035,122.54998137481485,87.09433158954269,111.75624322254332,91.281055430942,92.27205624065415,89.51342726086878,95.83223143936965,104.07184491933268,84.15568753077858,90.00504939368197,88.96118989422209,99.64556659426866,101.96879534484057,97.89373883975288
32,Brandon Woodruff,MIL,742.0,118.53435489060293,68.9593829105874,172.07233737319228,85.48797017078567,126.25044327568871,73.44089776052552,86.2229792676847,79.04328114733948,93.03355024622402,107.01926962639159,74.3269420648112,76.18416290126143,79.96519507835752,98.47053307603699,94.78069586177298,106.63202786124428
33,Marcus Stroman,4 Tms,1129.2,85.54442805561793,89.22236938644467,96.25876101879518,73.69696718097755,86.7030788338717,90.3736178307697,103.73186224090804,99.72284446914452,102.45484710287735,99.95148073755075,90.2605229089306,91.42399340592979,90.56331970299433,97.21182025585823,128.09060894558226,68.676956411848
34,Corey Kluber,5 Tms,741.0,111.8781482446279,59.81609042538154,185.71416647863026,88.82179982635286,117.27598851862517,62.74164448064455,95.43174055973519,85.03483144891129,100.22388305812639,102.9135169150665,81.98859533563464,80.23343269670674,82.61068209157149,107.403252852884,96.21961709961089,100.0635196403721
35,Germán Márquez,2 Tms,1144.1,96.69426930689637,84.0829847044971,115.4749789719419,111.1312555037841,96.59673946120412,83.95761954399525,106.38052280126257,101.71069050587012,104.67869395846164,95.99262782422299,97.04884679839145,95.43272853635064,92.36374414604916,105.23677481838374,106.79314649300728,88.39275322707977
36,Michael Wacha,6 Tms,1134.2,90.52906001495252,84.48092636618307,107.20342478743751,91.69697897473532,92.28838916143988,86.13115149446747,101.37026652638997,96.5413115270414,99.30131611406597,103.64597220600955,92.1227455548737,97.14066584691129,100.70090132186972,108.22928091956616,94.69655492517359,100.92167725686056
37,Luis Severino,3 Tms,955.1,107.25263607088837,86.52814375350883,123.05931877649063,94.336799840244,109.07485986952858,87.97502251749462,96.09832831670471,93.02895851776304,98.68434462094497,100.0334445082402,93.28261225131621,90.3262833143994,90.39001278993281,101.65113005340736,104.47736016500606,93.79022794402255
38,Chris Bassitt,4 Tms,1139.1,96.72395145042483,87.33448671587229,110.52344311946594,86.83779937538574,97.25095745881514,87.80184361773046,100.00004030169139,96.35363119046605,100.45697817267177,105.31435466759069,88.9382236516108,94.9657673264809,98.72535058051457,102.0047548488282,103.44041266393455,95.32611026139641
39,Joe Musgrove,3 Tms,955.2,103.54328800569112,68.9022745061436,150.12608157568692,94.96926282696772,105.84047636025748,70.44498289752237,99.10863202633281,90.62331880657162,100.9966517615692,102.25376853218438,93.02029512600605,90.7623287668101,90.34429283625487,100.97958655398509,101.58516143792087,97.58658060222312
