rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
26,Sandy Alcantara,MIA,0.2705767984445885,1.556762092,0.182191348,0.497947584,0.319861067,0.091806515,0.113524185,454.0,3.706682900966685,5562.0,11178.0,16740.0,0.4182557,0.35010941,0.23163489,0.17849328,0.50609565,0.31541107
27,Pablo López,2 Tms,0.2974438419829589,1.348451327,0.205761316,0.4560419,0.338196782,0.098451327,0.127212389,531.0,4.952331664948122,5293.0,10208.0,15501.0,0.43244246,0.33407572,0.23348181,0.17260579,0.52449889,0.30289532
28,Carlos Rodón,3 Tms,0.26953286482017363,0.863348416,0.181962653,0.379022646,0.4390147,0.099547511,0.113122171,559.0,5.156474269514414,6038.0,10555.0,16593.0,0.39645669,0.3496063,0.25393701,0.16023622,0.52322835,0.31653543
29,Kyle Hendricks,2 Tms,0.2869768650896803,1.259447674,0.214105156,0.438068756,0.347826086,0.114098837,0.125,670.0,4.709711031466933,6750.0,13215.0,19965.0,0.3995519,0.3592233,0.24122479,0.20786657,0.49838188,0.29375156
30,Nathan Eovaldi,3 Tms,0.28938420853796754,1.400647948,0.191636363,0.471636363,0.336727272,0.090712742,0.136069114,577.0,5.337101945955363,5064.0,10301.0,15365.0,0.4033189,0.3502886,0.2463925,0.14502165,0.52020202,0.33477633
31,Zac Gallen,2 Tms,0.28046062407132244,1.225225225,0.202940121,0.438866977,0.3581929,0.067067067,0.119119119,571.0,4.974830618069903,6148.0,10718.0,16866.0,0.4202847,0.33843416,0.24128114,0.13345196,0.50640569,0.36014235
32,Brandon Woodruff,MIL,0.27167310877967976,1.07232267,0.204059829,0.411858974,0.384081196,0.091794158,0.118219749,378.0,4.5849057075202895,3932.0,7990.0,11922.0,0.35552034,0.35921817,0.28526149,0.19704173,0.50132066,0.30163761
33,Marcus Stroman,4 Tms,0.29936689779921616,2.168028004,0.198642266,0.548406139,0.252951593,0.063010501,0.13302217,602.0,4.796105088924612,6806.0,11486.0,18292.0,0.40303295,0.35724701,0.23972003,0.17293672,0.50131234,0.32575095
34,Corey Kluber,5 Tms,0.29309462915601026,1.102803738,0.219137332,0.409519087,0.371343579,0.120160213,0.1188251,434.0,5.271255115002004,3750.0,7567.0,11317.0,0.40528634,0.34165443,0.25305923,0.18502203,0.50220264,0.31277533
35,Germán Márquez,2 Tms,0.30625383200490497,1.473782771,0.21880544,0.465405085,0.315789473,0.072097378,0.15730337,687.0,5.4031458434383435,6307.0,11735.0,18042.0,0.39129164,0.35447107,0.25423729,0.14348334,0.48421975,0.3722969
36,Michael Wacha,6 Tms,0.28890959925442683,1.088852988,0.219438575,0.40688198,0.373679444,0.116316639,0.112277867,637.0,5.0764462352653945,6398.0,11747.0,18145.0,0.44159714,0.32002384,0.23837902,0.170441,0.50476758,0.32479142
37,Chris Bassitt,4 Tms,0.2915082382762991,1.213492741,0.204907975,0.43588957,0.359202453,0.105038428,0.113578138,653.0,5.182539652030702,6541.0,11947.0,18488.0,0.38321168,0.34762774,0.26916058,0.18156934,0.51611922,0.30231144
