rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
159,Eric Lauer,TOR,12.2,36.0,89.59166632758246,104.8,112.5,25.083333333333332,3.0,0.08333333,12.0,0.33333333,7.815789865985161,3.7955331890066835
160,Brandon Williamson,CIN,20.2,63.0,88.81428552052331,104.1,111.1,19.444444444444443,7.0,0.11111111,26.0,0.41269841,4.35483904460469,6.748148035149044
161,Reynaldo López,ATL,21.2,63.0,86.3532232469128,105.8,114.5,15.935483870967742,3.0,0.04761905,22.0,0.34920635,3.7384616481623034,3.777402414472081
162,Jacob Lopez,ATH,23.2,78.0,85.09487210787259,103.5,110.8,20.53846153846154,3.0,0.03846154,21.0,0.26923077,5.704225505351363,4.020606428449669
163,Justin Verlander,DET,3.2,16.0,93.5062484741211,107.5,107.8,21.5625,2.0,0.125,9.0,0.5625,12.272729400761241,10.784847271870383
164,Brandon Pfaadt,ARI,16.2,55.0,88.67636274857955,105.5,111.5,7.454545454545454,6.0,0.10909091,20.0,0.36363636,5.9400002265930265,4.4771842822349175
165,Luinder Avila,KCR,3.0,11.0,95.81818181818181,109.7,109.9,11.181818181818182,2.0,0.18181818,6.0,0.54545455,15.0,10.817769042755065
166,Max Scherzer,TOR,16.1,52.0,88.84807762732872,103.8,110.9,26.192307692307693,6.0,0.11538462,18.0,0.34615385,7.16326544553923,6.112014239437493
167,Brayan Bello,BOS,18.2,67.0,88.47076885516827,106.2,112.2,5.8307692307692305,8.0,0.11940299,24.0,0.35820896,6.750000574759124,6.828727167256681
168,Germán Márquez,SDP,18.2,58.0,88.66896425444504,104.9,112.4,22.948275862068964,7.0,0.12068966,30.0,0.51724138,3.8571429885163644,5.471101764019599
169,Brent Suter,LAA,2.0,6.0,92.15000406901042,105.3,105.3,-0.8333333333333334,1.0,0.16666667,4.0,0.66666667,4.5,8.848408197424165
170,Colton Gordon,HOU,3.2,13.0,91.86153470552884,101.5,108.2,9.076923076923077,2.0,0.15384615,8.0,0.61538462,9.818183520608992,7.749439284675536
171,Matthew Liberatore,STL,27.0,91.0,90.66444634331597,105.8,108.9,15.377777777777778,7.0,0.07692308,37.0,0.40659341,3.6666666666666665,4.682205492039744
172,Pete Fairbanks,MIA,1.0,5.0,96.42500305175781,115.2,115.2,28.5,2.0,0.4,2.0,0.4,27.0,28.531945923901926
173,Ryan Johnson,LAA,3.1,15.0,93.72000325520834,105.6,107.5,26.0,0.0,0.0,9.0,0.6,16.20000154495254,5.377777318032296
174,Ryan Feltner,COL,18.0,58.0,89.45689813021956,104.5,110.9,13.810344827586206,10.0,0.17241379,29.0,0.5,6.000000317891455,7.006482788307962
175,Brandon Sproat,MIL,9.2,28.0,90.10370325159144,104.4,108.6,20.37037037037037,3.0,0.10714286,14.0,0.5,7.448276351946887,5.043914580186052
176,Jameson Taillon,CHC,22.2,64.0,88.16825358072917,106.8,111.6,22.92063492063492,8.0,0.125,21.0,0.328125,3.9705883466661214,4.42942543225192
177,Ryan Weiss,HOU,7.0,20.0,88.35,103.9,105.5,13.4,1.0,0.05,9.0,0.45,5.14285784351592,6.811679079210102
178,Slade Cecconi,CLE,24.2,80.0,88.19487195137219,104.7,111.6,13.23076923076923,10.0,0.125,30.0,0.375,6.2027028625772545,6.3146286710864
179,Roki Sasaki,LAD,17.2,55.0,89.27592637803819,105.4,111.8,15.648148148148149,5.0,0.09090909,24.0,0.43636364,6.11320776717016,5.668052926156539
180,George Klassen,LAA,4.2,16.0,89.60666910807292,104.7,111.3,-0.4,4.0,0.25,8.0,0.5,11.571430147910819,10.782267185949191
181,Kyle Leahy,STL,19.0,64.0,91.14444405691964,106.3,113.5,3.5238095238095237,9.0,0.140625,31.0,0.484375,5.2105263157894735,5.704562550892807
182,Zack Littell,WSN,14.0,49.0,94.20612195073342,107.1,115.2,12.489795918367347,8.0,0.16326531,27.0,0.55102041,7.714285714285714,8.1054724955309
183,Jose Quintana,COL,13.0,49.0,88.59583282470703,104.1,107.2,19.791666666666668,7.0,0.14285714,17.0,0.34693878,6.230769687855771,7.567018705567798
184,Luis Gil,NYY,15.1,46.0,92.73999837239583,106.2,114.3,15.822222222222223,4.0,0.08695652,22.0,0.47826087,4.1086957373556,6.46370374298934
185,Cristian Javier,HOU,9.1,33.0,89.5500020980835,105.0,109.9,24.15625,4.0,0.12121212,12.0,0.36363636,12.535715993570054,7.120715134105425
186,Merrill Kelly,ARI,9.2,35.0,94.28125,105.2,109.3,21.625,3.0,0.08571429,7.0,0.2,9.310345439933608,9.3207200523125
187,Taijuan Walker,PHI,18.2,67.0,86.23787804805872,103.0,108.7,10.378787878787879,7.0,0.10447761,23.0,0.34328358,9.160714597726365,7.176834693190715
188,Miles Mikolas,WSN,12.1,49.0,88.46808510638297,107.3,111.5,12.042553191489361,7.0,0.14285714,23.0,0.46938776,12.405405725154509,6.704539924094714
189,Tyler Mahle,SFG,18.2,55.0,90.00000230321345,103.6,110.5,3.547169811320755,10.0,0.18181818,20.0,0.36363636,7.232143103468183,7.137885722187195
190,Cole Ragans,KCR,21.0,52.0,89.47254794251685,104.8,111.6,17.80392156862745,9.0,0.17307692,21.0,0.40384615,6.0000002895082885,6.576874556904239
191,Luis Morales,ATH,7.1,28.0,90.8107169015067,108.8,110.4,22.392857142857142,4.0,0.14285714,13.0,0.46428571,12.272727804735695,10.965387590529938
