rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
37,Edward Cabrera,CHC,22.2,87.80144927536232,92.972,,,103.33666666666666,103.83373134328357,86.8765671641791,,,92.59388725913142,100.31192924935287,94.21931492666093
38,Jeffrey Springs,ATH,29.2,96.38703703703705,,90.86875,,93.08003389830508,,112.62191780821917,,,98.31708318604925,103.96929598209026,102.63027689407329
39,Rhett Lowder,CIN,23.0,76.39086956521739,79.20533333333334,,,91.86433734939759,,84.813698630137,,,82.59710734463278,111.99681177520071,98.73076063038954
40,Steven Matz,TBR,21.1,,89.1647741935484,,,104.11589743589744,100.05800000000002,104.32433962264152,,,96.65441176470588,107.55105882352942,103.15305882352942
41,Carmen Mlodzinski,PIT,14.1,81.56243243243244,96.65958333333333,,96.26935483870967,92.93304347826087,96.47627906976746,,,,91.68792867469881,103.6738978313253,95.53933012048194
42,Michael Soroka,ARI,22.2,96.08380952380952,96.26736842105262,98.48324324324325,,,98.21818181818182,83.09422222222223,,,95.42000947755005,104.17967183982941,96.7975725624926
43,Yoshinobu Yamamoto,LAD,25.2,103.85685393258427,99.72545454545455,91.45277777777777,99.81521367521368,106.50782608695651,101.25061224489798,,,,99.76093994778068,104.5358224543081,105.19514360313318
44,Jacob Misiorowski,MIL,26.2,120.48633484162896,,,,102.83216216216216,114.46620689655172,81.02,,,114.61500914959332,91.84736544790039,106.19858782851337
45,Hunter Brown,HOU,10.2,112.22133333333333,108.4749090909091,,,96.31846153846153,,65.05499999999999,91.4,,101.97311111111111,109.59977777777777,115.60300000000001
46,Joe Boyle,TBR,15.2,103.12472727272728,105.73764705882353,,104.8925,106.47214193214194,,,,,105.459532422156,85.3993988284863,93.42422053231941
47,Aaron Nola,PHI,22.1,108.77855855855856,108.81428571428572,87.0116129032258,,,,69.6290909090909,118.51485148514851,,104.82481792717087,99.23271708683474,102.79775910364144
48,Logan Webb,SFG,30.0,99.62761904761906,109.57700534759357,84.24368421052633,,94.64118811881188,,107.08306306306308,,,102.94927206405286,107.43221776136181,112.8723889054578
49,Kyle Bradish,BAL,19.2,85.64745098039216,95.09761467889908,,,111.5970802919708,93.733,,,,99.85120035382575,95.66985581601061,97.82259177355154
50,Kris Bubic,KCR,22.2,92.0173076923077,87.5108108108108,,,89.87199999999999,,93.03714285714285,,,91.16941180436174,105.50329052482556,100.68044628712036
51,Jacob deGrom,TEX,19.2,107.15703225806452,101.40285714285714,,,117.31740740740742,105.21428571428571,109.2848148148148,,,110.54384615384613,111.9530177514793,120.43917159763315
