rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
165,Brandon Pfaadt,ARI,16.2,97.74148148148146,95.00738461538462,90.64782608695653,,117.63699999999999,91.05830508474577,73.33142857142856,,,94.81916981132076,93.09516981132076,88.85932075471699
166,Ryan Weiss,HOU,3.2,106.18000000000002,88.06,,,120.4,130.66,94.84,,,109.2834210526316,88.24684210526316,91.47921052631578
167,Max Scherzer,TOR,16.1,87.58306451612903,,81.65,,107.96545454545455,95.10111111111112,84.50117647058823,,,92.22841547262898,103.97720044087545,96.03547892720306
168,Merrill Kelly,ARI,5.1,73.68,99.17999999999999,83.84,,,87.74,68.18,,,80.20164705882354,87.86517647058824,81.75647058823529
169,Brayan Bello,BOS,18.2,86.82500000000002,103.27391891891892,84.13808510638297,,111.09647058823529,105.11612903225807,73.68585365853659,,,95.42652354200106,98.41721107544139,94.26755617977528
170,Brent Suter,LAA,2.0,101.9,68.56,,,91.98,,105.32,,,95.74448979591835,101.03183673469388,95.36285714285714
171,Germán Márquez,SDP,18.2,74.33768595041323,77.4678260869565,,,90.9368,,87.88222222222223,106.70446153846156,,89.56209703216632,103.34120561578106,90.77402523547183
172,Colton Gordon,HOU,3.2,92.72,83.86,109.74,,116.18,86.33999999999999,91.9,,,96.91617647058823,108.24529411764706,95.70264705882353
173,Jose Quintana,COL,8.0,77.30000000000001,91.59483870967742,,,,86.0758620689655,79.72285714285715,,,82.39680202395009,90.87593028616405,73.54904278405576
174,Pete Fairbanks,MIA,1.0,92.16,,119.85999999999999,,103.66000000000001,,95.88,,,105.11259259259259,126.58592592592592,136.03037037037038
175,Matthew Liberatore,STL,27.0,88.60719999999999,97.76533333333333,83.42,115.74,112.66850574712643,126.24545454545455,90.72709677419354,,,99.6035790989637,102.21210607056761,99.62242447011677
176,Ryan Johnson,LAA,3.1,,100.53999999999999,105.62,77.74000000000001,88.88,,,,,92.874,68.41975000000001,64.54125
177,Ryan Feltner,COL,18.0,92.72941176470587,101.80851063829785,,,91.56078431372549,93.195,92.73111111111112,,,93.84398601398601,97.8106993006993,95.07132867132867
178,Brandon Sproat,MIL,9.2,89.56,101.69511111111113,91.57162790697676,,124.32516129032258,117.9895238095238,85.36,,,103.77206479771696,102.41716468020816,105.80636562027867
179,Jameson Taillon,CHC,22.2,97.37009345794392,83.69166666666666,85.37810526315789,,105.016,81.1578260869565,89.69375000000001,,,91.42562162162162,97.99908108108109,96.44427027027027
180,Roki Sasaki,LAD,17.2,91.68238532110091,,,113.2778082191781,98.826,,,,,99.88875262801899,87.27789385193587,91.3155648702392
181,George Klassen,LAA,4.2,101.73035714285713,104.21749999999999,,,84.38571428571429,94.555,84.67,,,94.46537931034483,85.99958620689655,82.7526896551724
182,Kyle Leahy,STL,19.0,87.27257142857142,104.33929824561403,,,91.3002380952381,80.63375,91.59555555555556,,,90.7270687361419,105.33571249076128,99.09592609017
183,Zack Littell,WSN,14.0,73.30862745098038,77.67809523809524,,97.8627027027027,87.8059090909091,,,,,84.17,95.93954128440367,80.5197247706422
184,Cristian Javier,HOU,9.1,89.80071428571429,87.24666666666667,,,102.98227272727271,,88.29407407407408,89.43555555555555,,92.77431818181817,89.02897727272726,83.51147727272728
185,Luis Gil,NYY,9.0,102.45890410958904,95.01565217391303,,,102.2325,,84.57255813953488,,,96.97340405276756,88.63627906976744,88.14188766489868
186,Miles Mikolas,WSN,12.1,85.94214285714285,85.03962264150944,,,95.20190476190476,100.58057142857143,79.646875,,,89.53020920502092,118.20510460251046,106.0260251046025
187,Taijuan Walker,PHI,18.2,90.49675675675675,91.07170731707318,90.58140845070423,73.76644444444445,100.96235294117646,94.38173913043477,,,,87.98055684754523,95.66154586563309,81.85359366925064
188,Tyler Mahle,SFG,18.2,91.84980891719744,76.3564705882353,76.02622222222223,88.12828282828282,83.11,,,,,87.17953389830508,110.20494093477143,100.41171160760145
189,Cole Ragans,KCR,21.0,98.9313698630137,,83.89894736842105,,116.62577777777777,,111.30461538461539,97.13428571428571,,102.73731034482759,95.95510344827586,99.02324137931036
190,Luis Morales,ATH,7.1,85.9162962962963,96.85749999999999,,,105.72,,78.03099999999999,,,92.83635135135134,75.94135135135134,73.33608108108109
