rank,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
77,Shane Baz,BAL,0.36363636363636365,1.041666666,0.279411764,0.367647058,0.352941176,0.041666666,0.083333333,6.0,2.454545560947139,137.0,237.0,374.0,0.44117647,0.25,0.30882353,0.22058824,0.47058824,0.30882353
78,Justin Wrobleski,LAD,0.10526315789473684,1.333333333,0.078947368,0.526315789,0.394736842,0.066666666,0.0,13.0,9.0,63.0,106.0,169.0,0.28947368,0.47368421,0.23684211,0.23684211,0.39473684,0.36842105
79,Chad Patrick,MIL,0.23404255319148937,0.615384615,0.125,0.333333333,0.541666666,0.115384615,0.038461538,9.0,5.062500301748532,98.0,143.0,241.0,0.33333333,0.1875,0.47916667,0.14583333,0.5,0.35416667
80,Michael McGreevy,STL,0.1875,0.931034482,0.164179104,0.402985074,0.43283582,0.137931034,0.103448275,8.0,3.323077020588714,135.0,214.0,349.0,0.34328358,0.40298507,0.25373134,0.11940299,0.56716418,0.31343284
81,Adrian Houser,SFG,0.3275862068965517,2.384615384,0.254237288,0.525423728,0.220338983,0.153846153,0.076923076,5.0,2.8125001676380736,94.0,169.0,263.0,0.49152542,0.28813559,0.22033898,0.20338983,0.55932203,0.23728814
82,Paul Skenes,PIT,0.18604651162790697,1.05,0.088888888,0.466666666,0.444444444,0.15,0.1,23.0,11.500000647372707,99.0,190.0,289.0,0.37777778,0.35555556,0.26666667,0.22222222,0.51111111,0.26666667
83,Andrew Abbott,CIN,0.35294117647058826,1.666666666,0.188405797,0.507246376,0.304347826,0.095238095,0.095238095,1.0,0.45000002145767315,125.0,208.0,333.0,0.37142857,0.38571429,0.24285714,0.2,0.48571429,0.31428571
84,Grant Taylor,CHW,0.09090909090909091,0.428571428,0.09090909,0.272727272,0.636363636,0.0,0.0,4.0,7.2,16.0,45.0,61.0,0.09090909,0.72727273,0.18181818,0.09090909,0.54545455,0.36363636
85,Luis Severino,ATH,0.3409090909090909,1.266666666,0.260869565,0.413043478,0.326086956,0.2,0.133333333,4.0,1.86206899613461,153.0,216.0,369.0,0.26086957,0.47826087,0.26086957,0.2173913,0.41304348,0.36956522
86,Clay Holmes,NYM,0.2153846153846154,2.294117647,0.164179104,0.582089552,0.253731343,0.058823529,0.117647058,14.0,5.478261096716388,120.0,229.0,349.0,0.46268657,0.40298507,0.13432836,0.2238806,0.40298507,0.37313433
87,Tanner Bibee,CLE,0.3380281690140845,1.416666666,0.216216216,0.459459459,0.324324324,0.166666666,0.166666666,4.0,1.479452132104959,157.0,271.0,428.0,0.36,0.44,0.2,0.12,0.48,0.4
88,Noah Cameron,KCR,0.2978723404255319,0.545454545,0.306122448,0.244897959,0.448979591,0.0,0.09090909,11.0,6.187500368803762,89.0,161.0,250.0,0.42857143,0.40816327,0.16326531,0.24489796,0.44897959,0.30612245
89,Jack Leiter,TEX,0.33962264150943394,1.095238095,0.2,0.418181818,0.381818181,0.0,0.142857142,8.0,3.540983827996415,139.0,236.0,375.0,0.33928571,0.39285714,0.26785714,0.08928571,0.51785714,0.39285714
90,Coleman Crow,MIL,0.25,1.0,0.125,0.4375,0.4375,0.142857142,0.0,4.0,6.750000402331376,22.0,55.0,77.0,0.375,0.4375,0.1875,0.125,0.5,0.375
91,Nick Martinez,TBR,0.25,1.071428571,0.183098591,0.422535211,0.394366197,0.142857142,0.107142857,5.0,2.045454634122616,125.0,220.0,345.0,0.47887324,0.36619718,0.15492958,0.14084507,0.57746479,0.28169014
92,Nathan Eovaldi,TEX,0.3559322033898305,1.523809523,0.158730158,0.507936507,0.333333333,0.0,0.19047619,13.0,5.400000158456661,122.0,223.0,345.0,0.42857143,0.46031746,0.11111111,0.07936508,0.47619048,0.44444444
93,Eduardo Rodriguez,ARI,0.23943661971830985,1.192307692,0.219178082,0.424657534,0.356164383,0.076923076,0.076923076,10.0,3.9130434782608696,140.0,230.0,370.0,0.42465753,0.34246575,0.23287671,0.15068493,0.52054795,0.32876712
94,Peter Lambert,HOU,0.5384615384615384,3.0,0.384615384,0.461538461,0.153846153,0.0,0.0,3.0,5.4,28.0,62.0,90.0,0.46153846,0.46153846,0.07692308,0.15384615,0.61538462,0.23076923
95,Spencer Arrighetti,HOU,0.18181818181818182,1.0,0.09090909,0.454545454,0.454545454,0.2,0.0,3.0,4.5,39.0,61.0,100.0,0.36363636,0.45454545,0.18181818,0.27272727,0.45454545,0.27272727
96,Brandon Woodruff,MIL,0.2608695652173913,0.576923076,0.145833333,0.3125,0.541666666,0.076923076,0.115384615,11.0,5.9400002265930265,78.0,153.0,231.0,0.28571429,0.3877551,0.32653061,0.16326531,0.44897959,0.3877551
97,Kyle Harrison,MIL,0.2702702702702703,0.785714285,0.324324324,0.297297297,0.378378378,0.071428571,0.142857142,4.0,2.454545560947139,83.0,170.0,253.0,0.33333333,0.33333333,0.33333333,0.12820513,0.48717949,0.38461538
98,Foster Griffin,WSN,0.2807017543859649,0.958333333,0.20338983,0.389830508,0.406779661,0.041666666,0.125,22.0,9.580645456026307,133.0,218.0,351.0,0.5,0.35,0.15,0.08333333,0.6,0.31666667
99,Brady Singer,CIN,0.3870967741935484,1.9375,0.276923076,0.476923076,0.246153846,0.0625,0.1875,11.0,5.6037737865726465,113.0,196.0,309.0,0.43076923,0.38461538,0.18461538,0.12307692,0.43076923,0.44615385
100,Jacob Latz,TEX,0.0,0.666666666,0.0,0.4,0.6,0.166666666,0.0,3.0,6.75,26.0,42.0,68.0,0.4,0.4,0.2,0.1,0.6,0.3
101,Aaron Ashby,MIL,0.5,1.0,0.0,0.5,0.5,0.0,0.0,3.0,11.571430147910819,16.0,28.0,44.0,0.33333333,0.5,0.16666667,0.0,0.33333333,0.66666667
102,Erick Fedde,CHW,0.27586206896551724,0.916666666,0.233333333,0.366666666,0.4,0.083333333,0.083333333,2.0,1.8,62.0,103.0,165.0,0.2,0.43333333,0.36666667,0.16666667,0.6,0.23333333
103,Zac Gallen,ARI,0.3076923076923077,1.347826086,0.19402985,0.462686567,0.343283582,0.086956521,0.086956521,8.0,3.6,131.0,212.0,343.0,0.41791045,0.34328358,0.23880597,0.05970149,0.32835821,0.6119403
