rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
48,Drew Rasmussen,TBR,16.0,95.94090872099905,,90.42921293451545,,,95.6734693877551,84.93333265516493,80.125,,,89.29999856387867,,
49,Michael Soroka,ARI,15.2,94.02551020408163,,89.06111145019531,,,93.75,,81.11290322580645,,,86.15882245232078,,
50,Luis Castillo,SEA,18.1,95.07074763499149,,92.30000305175781,,,95.32025069224683,85.0990478515625,,,,87.60833401150174,,
51,Bailey Ober,MIN,19.2,88.86106345927821,,,,,89.25,80.19259078414352,72.92307457557091,,,82.93589847923344,,
52,Walker Buehler,SDP,17.2,93.87021198678524,,89.48405832484148,,,93.70333353678386,84.78979616749044,,77.23845966045673,,88.69047691708519,,
53,Max Meyer,MIA,19.2,94.78142961774553,,,,,93.90638505651596,89.33806818181819,,,,88.4130448051121,,
54,Edward Cabrera,CHC,16.2,95.73709598664314,,,,,95.95384724934895,88.59600219726562,85.07083129882812,,,92.59801883508663,,
55,Mitch Keller,PIT,22.0,93.15520731608073,,,,,92.10526476408306,82.83736075935784,77.84285699753534,,,88.79782369862433,,
56,Andrew Painter,PHI,9.1,96.78095160590277,,,87.58333333333333,,95.08276051488416,87.44772893732244,81.00500030517578,,,,,
57,George Kirby,SEA,27.2,96.63928571428572,,92.4090909090909,,,96.93548387096774,86.45333414713542,,83.74583053588867,,88.52187633514404,,
58,Michael King,SDP,22.2,93.72456118935033,,,,,92.63416748046875,82.09725993953339,,,,86.24623550907258,,
59,Davis Martin,CHW,18.0,93.97619047619048,,89.53461632361778,,,93.0270253774282,86.78928702218192,82.32692425067609,,,89.75848964475236,,
60,Jack Flaherty,DET,20.0,92.8944099378882,,,,,90.95833333333333,84.97802197802197,,78.37999965122768,,84.95333099365234,,
61,Matthew Boyd,CHC,9.1,92.6939364346591,,,,,,84.30000305175781,73.00714547293526,,,79.30000064247533,,
62,Casey Mize,DET,16.0,93.00823471966912,,,87.13513348553631,,93.06800048828126,87.26833089192708,81.93076852651743,,,,,
63,Ryan Weathers,NYY,21.0,96.11101570775953,,,,,94.45223771280317,83.08947368421053,,,,85.23544427412975,,
64,Connelly Early,BOS,19.2,93.7815146566439,,,,,92.22291564941406,85.2016953290519,79.69811148013709,,,83.31842362253289,,
65,Jacob deGrom,TEX,15.2,97.11239750129133,,,,,96.30000114440918,91.53452555338542,80.28333536783855,,,89.81999860491071,,
66,Will Warren,NYY,18.1,93.96985222311581,,,,,93.7184766686481,84.50789682488693,81.97272838245739,,,86.8894725598787,,
67,Jack Kochanowicz,LAA,23.1,96.32222493489583,,,,,95.91603053435115,86.81864489539196,,,,90.20395894569926,,
68,Jacob Misiorowski,MIL,21.2,98.5122180783371,,,,,,93.80540342588682,86.45689549939385,,,92.24166488647461,,
69,Dustin May,STL,19.1,96.93369591754416,,93.46304055918817,,,96.47818048650568,85.62615309495192,82.7360009765625,,,90.24782927139945,,
70,Kyle Freeland,COL,15.2,92.4199969951923,,88.47105166786595,,,92.24285452706474,83.8375,,83.34603252108136,,87.44324390308277,,
